movie,genres,main_genre,subgenres,release_month,release_year,budget,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,ROI
Foodfight!,"Action,Animation,Comedy",Action,"['Animation', 'Comedy']",12,2012,mid,45000000,0,73706,73706,-44926294,0.1637911111111111
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",Adventure,"['Comedy', 'Drama']",12,2013,high,91000000,58236838,129624345,187861183,96861183,206.44086043956045
A Walk Among the Tombstones,"Action,Crime,Drama",Action,"['Crime', 'Drama']",9,2014,mid,28000000,26017685,36090902,62108587,34108587,221.81638214285715
Jurassic World,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",6,2015,high,215000000,652270625,996584239,1648854864,1433854864,766.9092390697674
The Rum Diary,"Comedy,Drama",Comedy,['Drama'],10,2011,mid,45000000,13109815,8434917,21544732,-23455268,47.87718222222222
Tangled,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",11,2010,high,260000000,200821936,385655304,586477240,326477240,225.5681692307692
John Carter,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",3,2012,high,275000000,73058679,209719421,282778100,7778100,102.8284
Dinner for Schmucks,Comedy,Comedy,[],7,2010,high,69000000,73026337,13770165,86796502,17796502,125.79203188405796
The A-Team,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",6,2010,high,110000000,77222099,100019072,177241171,67241171,161.12833727272726
The Possession,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",8,2012,mid,14000000,49130588,33794476,82925064,68925064,592.3218857142857
Real Steel,"Action,Drama,Family",Action,"['Drama', 'Family']",10,2011,high,110000000,85463309,178417032,263880341,153880341,239.8912190909091
The Giver,"Drama,Romance,Sci-Fi",Drama,"['Romance', 'Sci-Fi']",8,2014,mid,25000000,45090374,21449831,66540205,41540205,266.16082
Toy Story 3,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",6,2010,high,200000000,415004880,653874642,1068879522,868879522,534.439761
Alita: Battle Angel,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",2,2019,high,170000000,85710210,317265826,402976036,232976036,237.04472705882353
The History of Love,"Drama,Romance,War",Drama,"['Romance', 'War']",11,2016,mid,20000000,0,476624,476624,-19523376,2.38312
Shazam!,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",4,2019,high,85000000,139606856,223292877,362899733,277899733,426.94086235294117
Puss in Boots,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",10,2011,high,130000000,149260504,405726973,554987477,424987477,426.9134438461538
42,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",4,2013,mid,31000000,95020213,2450488,97470701,66470701,314.42161612903226
Life of Pi,"Adventure,Drama,Fantasy",Adventure,"['Drama', 'Fantasy']",11,2012,high,120000000,124987022,495924981,620912003,500912003,517.4266691666667
The Crazies,"Horror,Thriller",Horror,['Thriller'],2,2010,mid,19000000,39123589,17321945,56445534,37445534,297.0817578947368
The Equalizer,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",9,2014,high,55000000,101530738,91372886,192903624,137903624,350.7338618181818
Captain America: The First Avenger,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",7,2011,high,140000000,176654505,193915271,370569776,230569776,264.6926971428571
Sin City: A Dame to Kill For,"Crime,Thriller",Crime,['Thriller'],8,2014,high,65000000,13757804,26893038,40650842,-24349158,62.53975692307693
Piranha 3D,"Comedy,Horror",Comedy,['Horror'],8,2010,mid,24000000,25003155,58657005,83660160,59660160,348.584
Margaret,Drama,Drama,[],9,2011,mid,14000000,47185,576107,623292,-13376708,4.4520857142857135
Ex Machina,"Drama,Mystery,Sci-Fi",Drama,"['Mystery', 'Sci-Fi']",4,2015,mid,13000000,25440971,12917421,38358392,25358392,295.06455384615384
Tower Heist,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",11,2011,high,85000000,78046570,72376376,150422946,65422946,176.9681717647059
The Smurfs,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",7,2011,high,110000000,142614158,421135165,563749323,453749323,512.4993845454545
The Mechanic,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",1,2011,mid,42500000,29121498,47225895,76347393,33847393,179.64092470588236
"Hail, Caesar!","Comedy,Drama,Music",Comedy,"['Drama', 'Music']",2,2016,mid,22000000,30080225,34080455,64160680,42160680,291.63945454545456
Ant-Man,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",7,2015,high,130000000,180202163,338656286,518858449,388858449,399.1218838461538
Season of the Witch,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",1,2011,mid,40000000,24827228,66299372,91126600,51126600,227.8165
Hall Pass,"Comedy,Romance",Comedy,['Romance'],2,2011,high,68000000,45060734,42112741,87173475,19173475,128.1962867647059
The Croods,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",3,2013,high,135000000,187168425,385900000,573068425,438068425,424.4951296296296
Red Tails,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",1,2012,high,58000000,49876377,489121,50365498,-7634502,86.83706551724137
Something Borrowed,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",5,2011,mid,35000000,39046489,26037627,65084116,30084116,185.95461714285716
Tulip Fever,"Drama,History,Romance",Drama,"['History', 'Romance']",9,2017,mid,25000000,2455635,4337133,6792768,-18207232,27.171072000000002
Furry Vengeance,"Comedy,Family",Comedy,['Family'],4,2010,mid,35000000,17630465,21709712,39340177,4340177,112.4005057142857
Ramona and Beezus,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",7,2010,mid,15000000,26167002,1302619,27469621,12469621,183.13080666666664
Rings,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",2,2017,mid,25000000,27793018,55124265,82917283,57917283,331.669132
A Thousand Words,"Comedy,Drama",Comedy,['Drama'],3,2012,mid,40000000,18450127,2340359,20790486,-19209514,51.976215
What's Your Number?,"Comedy,Romance",Comedy,['Romance'],9,2011,mid,20000000,14011084,16152701,30163785,10163785,150.818925
Samsara,"Documentary,Music",Documentary,['Music'],8,2012,low,4000000,2672413,3294258,5966671,1966671,149.166775
Man of Steel,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",6,2013,high,225000000,291045518,376954000,667999518,442999518,296.88867466666665
The Wolfman,"Drama,Fantasy,Horror",Drama,"['Fantasy', 'Horror']",2,2010,high,150000000,62189884,80444474,142634358,-7365642,95.089572
The Boxtrolls,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",9,2014,high,60000000,50837305,61108946,111946251,51946251,186.577085
The Man Who Knew Infinity,"Biography,Drama",Biography,['Drama'],4,2016,mid,10000000,3877922,8504200,12382122,2382122,123.82122
The Incredible Burt Wonderstone,"Adventure,Comedy,Fantasy",Adventure,"['Comedy', 'Fantasy']",3,2013,mid,32000000,22537881,4854728,27392609,-4607391,85.601903125
Dallas Buyers Club,"Biography,Drama",Biography,['Drama'],11,2013,mid,5000000,27298285,33313560,60611845,55611845,1212.2369
Jack Reacher,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",12,2012,high,60000000,80070736,137300000,217370736,157370736,362.28456
R.I.P.D.,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",7,2013,high,130000000,33618855,45457823,79076678,-50923322,60.828213846153844
Clash of the Titans,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",4,2010,high,125000000,163214888,330000000,493214888,368214888,394.57191040000004
Thor,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",5,2011,high,150000000,181030624,268295994,449326618,299326618,299.5510786666667
Warcraft,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",6,2016,high,160000000,47225655,378296626,425522281,265522281,265.951425625
It's Kind of a Funny Story,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",10,2010,mid,8000000,6363628,269322,6632950,-1367050,82.911875
