movie,genres,main_genre,subgenres,budget,release_month,release_year,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,total_profit_margin,director,birth_year,death_year
Trouble with the Curve,"Drama,Sport",Drama,['Sport'],high,9,2012,60000000,35763137,12055776,47818913,-12181087,-25.47,Robert Lorenz,,
The Sisterhood of Night,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",low,4,2015,1000000,6870,0,6870,-993130,-14456.04,Caryn Waechter,,
For Greater Glory: The True Story of Cristiada,"Drama,History,War",Drama,"['History', 'War']",mid,6,2012,12000000,5669081,4357174,10026255,-1973745,-19.69,Dean Wright,,
Detention of the Dead,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",low,6,2013,500000,1778,0,1778,-498222,-28021.48,Alex Craig Mann,,
3 Backyards,Drama,Drama,[],low,3,2011,300000,39475,0,39475,-260525,-659.97,Eric Mendelsohn,1964.0,
Little Boy,"Drama,History,War",Drama,"['History', 'War']",mid,4,2015,20000000,6485961,11283338,17769299,-2230701,-12.55,Alejandro Monteverde,1977.0,
The Warrior's Way,"Action,Fantasy,Western",Action,"['Fantasy', 'Western']",mid,12,2010,42000000,5666340,2847985,8514325,-33485675,-393.29,Sngmoo Lee,,
Just Wright,"Comedy,Romance,Sport",Comedy,"['Romance', 'Sport']",mid,5,2010,12000000,21540363,327302,21867665,9867665,45.12,Sanaa Hamri,,
Overboard,"Comedy,Romance",Comedy,['Romance'],mid,5,2018,12000000,50316123,35053707,85369830,73369830,85.94,Rob Greenberg,,
The Bourne Legacy,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",high,8,2012,125000000,113203870,167152050,280355920,155355920,55.41,Tony Gilroy,1956.0,
Everything Must Go,"Comedy,Drama",Comedy,['Drama'],mid,5,2011,5000000,2712131,108879,2821010,-2178990,-77.24,Dan Rush,,
Prom,"Comedy,Drama,Family",Comedy,"['Drama', 'Family']",mid,4,2011,8000000,10130219,632964,10763183,2763183,25.67,Joe Nussbaum,1973.0,
Dear White People,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",low,10,2014,1250000,4404154,999617,5403771,4153771,76.87,Justin Simien,,
A Walk Among the Tombstones,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,9,2014,28000000,26017685,36090902,62108587,34108587,54.92,Scott Frank,1960.0,
Furry Vengeance,"Comedy,Family",Comedy,['Family'],mid,4,2010,35000000,17630465,21709712,39340177,4340177,11.03,Roger Kumble,1966.0,
MacGruber,"Action,Comedy,Romance",Action,"['Comedy', 'Romance']",mid,5,2010,10000000,8525600,104295,8629895,-1370105,-15.88,Jorma Taccone,1977.0,
The Big Wedding,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",mid,4,2013,32500000,21819348,26606623,48425971,15925971,32.89,Justin Zackham,,
300: Rise of an Empire,"Action,Fantasy,War",Action,"['Fantasy', 'War']",high,3,2014,110000000,106580051,224200000,330780051,220780051,66.75,Noam Murro,1961.0,
Martha Marcy May Marlene,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",low,10,2011,1000000,2981038,2457873,5438911,4438911,81.61,Sean Durkin,,
Blood Done Sign My Name,Drama,Drama,[],mid,2,2010,10000000,109383,0,109383,-9890617,-9042.19,Jeb Stuart,1956.0,
N-Secure,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",low,10,2010,1600000,2595644,0,2595644,995644,38.36,David M. Matthews,,
The Pirates! Band of Misfits,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,4,2012,55000000,31051126,105092479,136143605,81143605,59.6,Peter Lord,1953.0,
No Good Deed,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,9,2014,13200000,52543632,1779578,54323210,41123210,75.7,Sam Miller,1962.0,
The Back-up Plan,"Comedy,Romance",Comedy,['Romance'],mid,4,2010,35000000,37490007,37791172,75281179,40281179,53.51,Alan Poul,,
Mortal Engines,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",high,12,2018,100000000,15951040,69336377,85287417,-14712583,-17.25,Christian Rivers,,
Carrie,"Drama,Horror",Drama,['Horror'],mid,10,2013,30000000,35266619,47142901,82409520,52409520,63.6,Kimberly Peirce,1967.0,
Poltergeist,"Horror,Thriller",Horror,['Thriller'],mid,5,2015,35000000,47425125,48287944,95713069,60713069,63.43,Gil Kenan,1976.0,
Killer Elite,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",high,9,2011,70000000,25124986,40284060,65409046,-4590954,-7.02,Gary McKendry,,
When the Game Stands Tall,"Drama,Family,Sport",Drama,"['Family', 'Sport']",mid,8,2014,15000000,30127963,10949,30138912,15138912,50.23,Thomas Carter,1953.0,
Sex and the City 2,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",high,5,2010,95000000,95347692,199333086,294680778,199680778,67.76,Michael Patrick King,1954.0,
House at the End of the Street,"Drama,Horror,Thriller",Drama,"['Horror', 'Thriller']",mid,9,2012,6900000,31611916,12492066,44103982,37203982,84.36,Mark Tonderai,,
Yogi Bear,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,12,2010,80000000,100246011,104528679,204774690,124774690,60.93,Eric Brevig,1957.0,
Under the Skin,"Drama,Horror,Sci-Fi",Drama,"['Horror', 'Sci-Fi']",mid,4,2014,13300000,2614251,4615682,7229933,-6070067,-83.96,Jonathan Glazer,1965.0,
A Star is Born,"Documentary,Music",Documentary,['Music'],mid,10,2018,36000000,215288866,218160705,433449571,397449571,91.69,Vanja Kovacevic,,
The Best of Me,"Drama,Romance",Drama,['Romance'],mid,10,2014,26000000,26766213,14293205,41059418,15059418,36.68,Michael Hoffman,1956.0,
Moneyball,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",high,9,2011,50000000,75605492,35695343,111300835,61300835,55.08,Bennett Miller,1966.0,
Bleed for This,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",mid,11,2016,16000000,5083906,1520020,6603926,-9396074,-142.28,Ben Younger,1972.0,
Khumba,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",mid,12,2013,15000000,0,20898221,20898221,5898221,28.22,Anthony Silverston,,
Sea Rex 3D: Journey to a Prehistoric World,Documentary,Documentary,[],mid,5,2010,5000000,6096582,10418621,16515203,11515203,69.72,Pascal Vuong,,
Banshee Chapter,"Horror,Sci-Fi,Thriller",Horror,"['Sci-Fi', 'Thriller']",low,1,2014,950000,0,78122,78122,-871878,-1116.05,Blair Erickson,,
The Cold Light of Day,"Action,Thriller",Action,['Thriller'],mid,9,2012,20000000,3763583,21597623,25361206,5361206,21.14,Mabrouk El Mechri,1976.0,
Same Kind of Different as Me,"Biography,Drama",Biography,['Drama'],mid,10,2017,6500000,6423605,0,6423605,-76395,-1.19,Michael Carney,,
Redemption Road,Drama,Drama,[],low,8,2011,2300000,29384,0,29384,-2270616,-7727.39,Mario Van Peebles,1957.0,
USS Indianapolis: Men of Courage,"Action,Drama,History",Action,"['Drama', 'History']",mid,11,2016,40000000,0,1663785,1663785,-38336215,-2304.16,Mario Van Peebles,1957.0,
A Walk in the Woods,"Adventure,Biography,Comedy",Adventure,"['Biography', 'Comedy']",mid,9,2015,8000000,29499394,7619964,37119358,29119358,78.45,Ken Kwapis,1957.0,
Big Miracle,"Biography,Drama,Family",Biography,"['Drama', 'Family']",mid,2,2012,40000000,20157300,5111380,25268680,-14731320,-58.3,Ken Kwapis,1957.0,
Mars Needs Moms,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",high,3,2011,150000000,21392758,18157000,39549758,-110450242,-279.27,Simon Wells,1961.0,
Drive Angry,"Action,Fantasy,Thriller",Action,"['Fantasy', 'Thriller']",high,2,2011,50000000,10721033,30321550,41042583,-8957417,-21.82,Patrick Lussier,,
The Way Way Back,"Comedy,Drama",Comedy,['Drama'],mid,7,2013,5000000,21502690,5351120,26853810,21853810,81.38,Jim Rash,1971.0,
Point Break,"Action,Crime,Sport",Action,"['Crime', 'Sport']",high,12,2015,100000000,28782481,97922110,126704591,26704591,21.08,Ericson Core,,
The Great Gatsby,"Drama,Romance",Drama,['Romance'],high,5,2013,190000000,144840419,206200000,351040419,161040419,45.88,Baz Luhrmann,1962.0,
Two Night Stand,"Comedy,Romance",Comedy,['Romance'],low,9,2014,1600000,15600,852481,868081,-731919,-84.31,Max Nichols,1973.0,
Love the Coopers,"Comedy,Fantasy,Romance",Comedy,"['Fantasy', 'Romance']",mid,11,2015,18000000,26302731,15924759,42227490,24227490,57.37,Jessie Nelson,,
Creative Control,"Drama,Sci-Fi",Drama,['Sci-Fi'],low,3,2016,1000000,63014,0,63014,-936986,-1486.95,Benjamin Dickinson,,
Samsara,"Documentary,Music",Documentary,['Music'],low,8,2012,4000000,2672413,3294258,5966671,1966671,32.96,Ron Fricke,,
Den of Thieves,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,1,2018,30000000,44947622,35183769,80131391,50131391,62.56,Christian Gudegast,1970.0,
The Last Song,"Drama,Music,Romance",Drama,"['Music', 'Romance']",mid,3,2010,20000000,62950384,29728564,92678948,72678948,78.42,Julie Anne Robinson,,
One for the Money,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",mid,1,2012,42000000,26414527,9782694,36197221,-5802779,-16.03,Julie Anne Robinson,,
Holy Motors,"Drama,Fantasy",Drama,['Fantasy'],low,10,2012,4000000,641054,3589372,4230426,230426,5.45,Leos Carax,1960.0,
Hacksaw Ridge,"Biography,Drama,History",Biography,"['Drama', 'History']",mid,11,2016,40000000,67209615,101695067,168904682,128904682,76.32,Mel Gibson,1956.0,
Ouija,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",mid,10,2014,5000000,50856010,52444622,103300632,98300632,95.16,Stiles White,,
Submarine,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",low,6,2011,1900000,467602,4114335,4581937,2681937,58.53,Richard Ayoade,1977.0,
Entourage,Comedy,Comedy,[],mid,6,2015,30000000,32363404,14075134,46438538,16438538,35.4,Doug Ellin,1968.0,
Sound of My Voice,"Drama,Mystery,Sci-Fi",Drama,"['Mystery', 'Sci-Fi']",low,4,2012,135000,408015,21433,429448,294448,68.56,Zal Batmanglij,,
The East,"Adventure,Drama,Thriller",Adventure,"['Drama', 'Thriller']",mid,5,2013,6500000,2274649,753307,3027956,-3472044,-114.67,Zal Batmanglij,,
Triple 9,"Crime,Thriller",Crime,['Thriller'],mid,2,2016,20000000,12639297,13304495,25943792,5943792,22.91,John Hillcoat,1961.0,
Lowriders,"Adventure,Crime,Drama",Adventure,"['Crime', 'Drama']",low,5,2017,916000,6179955,8466,6188421,5272421,85.2,Ricardo de Montreuil,1974.0,
Shark Night 3D,"Horror,Thriller",Horror,['Thriller'],mid,9,2011,25000000,18877153,0,18877153,-6122847,-32.44,David R. Ellis,1952.0,2013.0
Drunk Wedding,Comedy,Comedy,[],low,5,2015,600000,3301,0,3301,-596699,-18076.31,Nick Weiss,,
John Carter,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",high,3,2012,275000000,73058679,209719421,282778100,7778100,2.75,Andrew Stanton,1965.0,
Finding Dory,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,6,2016,200000000,486295561,534919632,1021215193,821215193,80.42,Angus MacLane,,
Song One,"Drama,Music",Drama,['Music'],mid,1,2015,6000000,32251,404838,437089,-5562911,-1272.72,Kate Barker-Froyland,,
The Rum Diary,"Comedy,Drama",Comedy,['Drama'],mid,10,2011,45000000,13109815,8434917,21544732,-23455268,-108.87,Bruce Robinson,1946.0,
Brighton Rock,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",mid,8,2011,11000000,229653,0,229653,-10770347,-4689.84,Rowan Joffe,1972.0,
